,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
security,F11903M Index,I00103M Index,I00703M Index,I01103M Index,I01303M Index,I01803M Index,I02103M Index,I02203M Index,I02503M Index,I04903M Index,I07803M Index,I11203M Index,I16503M Index,I17303M Index,I21703M Index,I25103M Index,I26903M Index,I35103M Index
date,,,,,,,,,,,,,,,,,,
1999-01-01,13.9,4.585,4.884,3.887,2.962,0.397,3.379,5.9,4.469,4.495,8.05,,,,,,,
1999-01-04,13.9,4.6,4.868,3.918,3.038,0.376,3.331,6.524,4.481,4.37,8.05,,,,,,,
1999-01-05,13.61,4.65,4.863,3.846,3.053,0.335,3.332,6.727,4.491,4.37,8.02,,,,,,,
1999-01-06,13.36,4.63,4.852,3.836,3.138,0.328,3.333,6.868,4.459,4.31,7.95,,,,,,,
1999-01-07,13.41,4.6,4.875,3.734,3.149,0.308,3.604,6.754,4.438,4.37,7.92,,,,,,,
1999-01-08,13.29,4.65,4.948,3.704,3.119,0.303,3.292,5.6,4.479,4.35,7.15,,,,,,,
1999-01-11,13.36,4.615,4.968,3.714,3.06,0.282,3.29,7.952,4.511,4.325,7.8,,,,,,,
1999-01-12,13.23,4.66,4.94,3.734,3.237,0.289,3.605,8.492,4.478,4.325,7.75,,,,,,,
1999-01-13,13.23,4.665,4.911,3.765,2.988,0.299,3.655,5.599,4.435,4.435,7.75,,,,,,,
1999-01-14,13.23,4.74,4.747,3.7,3.034,0.304,3.28,5.599,4.394,4.33,7.77,,,,,,,
1999-01-15,13.29,4.65,4.803,3.74,3.035,0.308,3.261,5.6,4.416,4.305,7.75,,,,,,,
1999-01-18,12.85,4.66,4.822,3.69,3.023,0.285,3.236,5.549,4.415,3.97,7.8,,,,,,,
1999-01-19,12.85,4.665,4.863,3.71,2.967,0.287,3.567,5.549,4.361,3.93,7.83,,,,,,,
1999-01-20,13.81,4.74,4.905,3.69,2.951,0.287,3.26,5.549,4.377,3.8,7.8,,,,,,,
1999-01-21,13.76,4.74,4.612,3.68,2.947,0.286,3.244,5.549,4.283,3.84,7.78,,,,,,,
1999-01-22,13.85,4.635,4.827,3.68,2.948,0.287,3.232,5.55,4.345,3.785,7.78,,,,,,,
1999-01-25,13.71,4.625,4.828,3.7,2.948,0.296,3.218,5.549,4.429,3.95,7.82,,,,,,,
1999-01-26,13.76,4.7,4.828,3.7,2.958,0.292,3.219,5.549,4.46,3.91,7.82,,,,,,,
1999-01-27,13.73,4.675,4.791,3.7,2.968,0.297,3.207,5.549,4.428,3.84,7.8,,,,,,,
1999-01-28,13.75,4.62,4.796,3.45,2.97,0.297,3.149,5.549,4.49,3.79,7.4,,,,,,,
1999-01-29,13.95,4.57,4.8,3.45,2.951,0.3,3.204,5.55,4.457,,7.3,,,,,,,
1999-02-01,14.0,4.57,4.866,3.45,2.976,0.298,3.164,5.449,4.528,3.671,7.26,,,,,,,
1999-02-02,12.94,4.57,4.891,3.44,2.997,0.3,3.161,5.448,4.533,3.721,7.26,,,,,,,
1999-02-03,13.02,4.6,4.914,3.42,2.998,0.303,3.146,5.449,4.48,3.013,7.26,,,,,,,
1999-02-04,13.02,4.57,4.916,3.44,3.008,0.302,3.149,5.27,4.48,3.75,7.26,,,,,,,
1999-02-05,12.88,4.6,4.953,3.43,3.009,0.302,3.135,5.18,4.5,3.725,7.34,,,,,,,
1999-02-08,13.05,4.6,4.956,3.44,3.027,0.301,3.12,5.18,4.512,3.811,7.31,,,,,,,
1999-02-09,12.97,4.6,4.937,3.44,3.018,0.295,3.163,5.18,4.512,3.961,7.31,,,,,,,
1999-02-10,12.97,4.61,4.966,3.43,3.025,0.29,3.195,5.179,4.47,3.906,7.31,,,,,,,
1999-02-11,12.97,4.61,4.966,3.44,3.057,0.295,3.262,5.149,4.511,3.84,7.31,,,,,,,
1999-02-12,13.14,4.61,5.04,3.45,3.101,0.289,3.358,5.12,4.53,3.835,7.31,,,,,,,
1999-02-15,13.12,4.63,5.089,3.44,3.05,0.204,3.063,5.1,4.551,4.001,7.27,,,,,,,
